numero_camisa,nome_atleta,posicao_atleta,img_atleta,pais_atleta,id_atleta,id_clube
1,Mark Travers,Goalkeeper,//resources.premierleague.com/premierleague/photos/players/250x250/p229600.png,Ireland,p229600,127
13,Neto,Goalkeeper,//resources.premierleague.com/premierleague/photos/players/250x250/p69752.png,Brazil,p69752,127
45,Cameron Plain,Goalkeeper,//resources.premierleague.com/premierleague/photos/players/250x250/p461012.png,England,p461012,127
12,Darren Randolph,Goalkeeper,//resources.premierleague.com/premierleague/photos/players/250x250/p32259.png,Ireland,p32259,127
5,Lloyd Kelly,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p235530.png,England,p235530,127
6,Chris Mepham,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p223911.png,Wales,p223911,127
15,Adam Smith,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p54469.png,England,p54469,127
17,Jack Stacey,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p154131.png,England,p154131,127
33,Jordan Zemura,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p447932.png,Zimbabwe,p447932,127
2,Ryan Fredericks,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p81012.png,England,p81012,127
25,Marcos Senesi,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p221466.png,Argentina,p221466,127
43,Ben Greenwood,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p474772.png,Ireland,p474772,127
3,Jack Stephens,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p88900.png,England,p88900,127
18,Matías Viña,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p244704.png,Uruguay,p244704,127
27,Illia Zabarnyi,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p477580.png,Ukraine,p477580,127
53,Max Kinsey-Wellings,Defender,//resources.premierleague.com/premierleague/photos/players/250x250/p496683.png,England,p496683,127
4,Lewis Cook,Midfielder,//resources.premierleague.com/premierleague/photos/players/250x250/p155408.png,England,p155408,127
7,David Brooks,Midfielder,//resources.premierleague.com/premierleague/photos/players/250x250/p111317.png,Wales,p111317,127
8,Jefferson Lerma,Midfielder,//resources.premierleague.com/premierleague/photos/players/250x250/p152551.png,Colombia,p152551,127
10,Ryan Christie,Midfielder,//resources.premierleague.com/premierleague/photos/players/250x250/p158499.png,Scotland,p158499,127
