id_clube,nome_clube,logo_clube,estadio_clube,url_clube
127,AFC Bournemouth,//resources.premierleague.com/premierleague/badges/t91.svg,Vitality Stadium,https://www.premierleague.com/clubs/127/Bournemouth/overview
1,Arsenal,//resources.premierleague.com/premierleague/badges/t3.svg,Emirates Stadium,https://www.premierleague.com/clubs/1/Arsenal/overview
2,Aston Villa,//resources.premierleague.com/premierleague/badges/t7.svg,Villa Park,https://www.premierleague.com/clubs/2/Aston-Villa/overview
130,Brentford,//resources.premierleague.com/premierleague/badges/t94.svg,Gtech Community Stadium,https://www.premierleague.com/clubs/130/Brentford/overview
131,Brighton and Hove Albion,//resources.premierleague.com/premierleague/badges/t36.svg,Amex Stadium,https://www.premierleague.com/clubs/131/Brighton-and-Hove-Albion/overview
4,Chelsea,//resources.premierleague.com/premierleague/badges/t8.svg,Stamford Bridge,https://www.premierleague.com/clubs/4/Chelsea/overview
6,Crystal Palace,//resources.premierleague.com/premierleague/badges/t31.svg,Selhurst Park,https://www.premierleague.com/clubs/6/Crystal-Palace/overview
7,Everton,//resources.premierleague.com/premierleague/badges/t11.svg,Goodison Park,https://www.premierleague.com/clubs/7/Everton/overview
34,Fulham,//resources.premierleague.com/premierleague/badges/t54.svg,Craven Cottage,https://www.premierleague.com/clubs/34/Fulham/overview
9,Leeds United,//resources.premierleague.com/premierleague/badges/t2.svg,Elland Road,https://www.premierleague.com/clubs/9/Leeds-United/overview
26,Leicester City,//resources.premierleague.com/premierleague/badges/t13.svg,King Power Stadium,https://www.premierleague.com/clubs/26/Leicester-City/overview
10,Liverpool,//resources.premierleague.com/premierleague/badges/t14.svg,Anfield,https://www.premierleague.com/clubs/10/Liverpool/overview
11,Manchester City,//resources.premierleague.com/premierleague/badges/t43.svg,Etihad Stadium,https://www.premierleague.com/clubs/11/Manchester-City/overview
12,Manchester United,//resources.premierleague.com/premierleague/badges/t1.svg,Old Trafford,https://www.premierleague.com/clubs/12/Manchester-United/overview
23,Newcastle United,//resources.premierleague.com/premierleague/badges/t4.svg,St. James' Park,https://www.premierleague.com/clubs/23/Newcastle-United/overview
15,Nottingham Forest,//resources.premierleague.com/premierleague/badges/t17.svg,The City Ground,https://www.premierleague.com/clubs/15/Nottingham-Forest/overview
20,Southampton,//resources.premierleague.com/premierleague/badges/t20.svg,St. Mary's Stadium,https://www.premierleague.com/clubs/20/Southampton/overview
21,Tottenham Hotspur,//resources.premierleague.com/premierleague/badges/t6.svg,Tottenham Hotspur Stadium,https://www.premierleague.com/clubs/21/Tottenham-Hotspur/overview
25,West Ham United,//resources.premierleague.com/premierleague/badges/t21.svg,London Stadium,https://www.premierleague.com/clubs/25/West-Ham-United/overview
38,Wolverhampton Wanderers,//resources.premierleague.com/premierleague/badges/t39.svg,Molineux Stadium,https://www.premierleague.com/clubs/38/Wolverhampton-Wanderers/overview
